# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1742024926435000000,1742024986478000000,0
FilePageCacheLockFree.totalBytesRequested,1742024926435000000,1742024986478000000,57344
FilePageCache.uncachedFileAccess,1742024926435000000,1742024986478000000,170
FilePageCacheLockFree.totalPagesRequestsMs,1742024926435000000,1742024986478000000,5
FilePageCache.pageLoadsAboveSizeThreshold,1742024926435000000,1742024986478000000,0
FilePageCacheLockFree.heapBytesInUse,1742024926435000000,1742024986478000000,0
MappedFileStorage.storages,1742024926435000000,1742024986478000000,14
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1742024926435000000,1742024986478000000,246456320
FilePageCache.capacityInBytes,1742024926435000000,1742024986478000000,503316478
StorageLockContext.competingThreads.max,1742024926435000000,1742024986478000000,0
StreamlinedBlobStorage.recordsAllocated,1742024926435000000,1742024986478000000,32393
StorageLockContext.competingThreads.90P,1742024926435000000,1742024986478000000,0
MappedFileStorage.totalBytesMapped,1742024926435000000,1742024986478000000,128188416
DirectByteBufferAllocator.disposed,1742024926435000000,1742024986478000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1742024926435000000,1742024986478000000,2615162
MappedFileStorage.totalTimeSpentOnMappingUs,1742024926435000000,1742024986478000000,544
FilePageCacheLockFree.totalBytesWritten,1742024926435000000,1742024986478000000,0
MappedFileStorage.totalPagesMapped,1742024926435000000,1742024986478000000,14
StreamlinedBlobStorage.recordsDeleted,1742024926435000000,1742024986478000000,20
FilePageCacheLockFree.totalNativeBytesReclaimed,1742024926435000000,1742024986478000000,0
FilePageCacheLockFree.totalPagesReadMs,1742024926435000000,1742024986478000000,2
FilePageCacheLockFree.totalHeapBytesReclaimed,1742024926435000000,1742024986478000000,0
FilePageCacheLockFree.nativeBytesInUse,1742024926435000000,1742024986478000000,24576
FilePageCacheLockFree.housekeeperTimeSpentMs,1742024926435000000,1742024986478000000,204
FilePageCacheLockFree.totalHeapBytesAllocated,1742024926435000000,1742024986478000000,0
DirectByteBufferAllocator.reclaimed,1742024926435000000,1742024986478000000,22
FilePageCache.totalPageLoadsUs,1742024926435000000,1742024986478000000,137056
FilePageCacheLockFree.totalPagesReclaimed,1742024926435000000,1742024986478000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1742024926435000000,1742024986478000000,24576
FilePageCache.maxCacheSizeInBytes,1742024926435000000,1742024986478000000,246431744
StreamlinedBlobStorage.recordsRelocated,1742024926435000000,1742024986478000000,0
FilePageCache.pageFastCacheHits,1742024926435000000,1742024986478000000,5083
FilePageCache.pageLoads,1742024926435000000,1742024986478000000,259
FilePageCacheLockFree.housekeeperTurnsSkipped,1742024926435000000,1742024986478000000,46623
FilePageCacheLockFree.totalBytesRead,1742024926435000000,1742024986478000000,13746
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1742024926435000000,1742024986478000000,689187
FilePageCache.disposedBuffers,1742024926435000000,1742024986478000000,22
FilePageCacheLockFree.totalPagesAllocated,1742024926435000000,1742024986478000000,3
FilePageCache.maxRegisteredFiles,1742024926435000000,1742024986478000000,571
FilePageCacheLockFree.totalPagesWritten,1742024926435000000,1742024986478000000,0
FilePageCache.pageHits,1742024926435000000,1742024986478000000,0
DirectByteBufferAllocator.misses,1742024926435000000,1742024986478000000,240
FilePageCacheLockFree.totalPageAllocationsWaited,1742024926435000000,1742024986478000000,0
FilePageCacheLockFree.totalPagesRequested,1742024926435000000,1742024986478000000,7
FileChannelInterruptsRetryer.totalRetriedAttempts,1742024926435000000,1742024986478000000,0
IndexesFlusher.totalContentionQuotaSpent,1742024986478000000,1742025046472000000,0
IndexesFlusher.totalFlushes,1742024986478000000,1742025046472000000,59
Indexes.entries.lookupDurationMaxMs,1742024986478000000,1742025046472000000,0.0
Indexes.entries.lookupDuration90PMs,1742024986478000000,1742025046472000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1742024986478000000,1742025046472000000,0.0
Indexes.stubs.lookupDurationAvgMs,1742024986478000000,1742025046472000000,0.0
IndexesFlusher.totalFlushesRetried,1742024986478000000,1742025046472000000,0
Indexes.allKeys.lookupDurationAvgMs,1742024986478000000,1742025046472000000,0.0
Indexes.allKeys.lookupDuration90PMs,1742024986478000000,1742025046472000000,0.0
Indexes.entries.lookups,1742024986478000000,1742025046472000000,0.0
IndexesFlusher.totalFlushingTimeUs,1742024986478000000,1742025046472000000,224980
Indexes.stubs.lookupDuration90PMs,1742024986478000000,1742025046472000000,0.0
Indexes.stubs.lookupDurationMaxMs,1742024986478000000,1742025046472000000,0.0
Indexes.stubs.lookups,1742024986478000000,1742025046472000000,0.0
Indexes.allKeys.lookups,1742024986478000000,1742025046472000000,0.0
Indexes.entries.lookupDurationAvgMs,1742024986478000000,1742025046472000000,0.0
FileNameCache.totalMisses,1742024986478000000,1742025046472000000,0
FileNameCache.queries,1742024986478000000,1742025046472000000,378
FlushQueue.queueSizeAvg,1742024986478000000,1742025046472000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1742024986478000000,1742025046472000000,1039319926
AWTEventQueue.eventsDispatched,1742024986478000000,1742025046472000000,0
NonBlockingReadAction.finalizedExecutionsCount,1742024986478000000,1742025046472000000,0
AWTEventQueue.dispatchTime90PNs,1742024986478000000,1742025046472000000,0
FlushQueue.waitingTimeAvgNs,1742024986478000000,1742025046472000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1742024986478000000,1742025046472000000,0
